NAME,SpMAX4_Bh(s),ALOGP2,Forms,Group
Rapamycin,7.42,37.1,Yes,Training
Docetaxel,7.43,7.1,Yes,Training
Enzalutamide,8,18.8,Yes,Training
Fulvestrant,8,70.8,Yes,Training
Venetoclax,7,60.9,Yes,Training
Paclitaxel,7.43,9.8,Yes,Training
Sorafenib,7.43,17.4,Yes,Training
Trametinib,7.43,10.1,Yes,Training
Avagacestat,8,16,Yes,Validation
Dutasteride,8,32.5,Yes,Validation
Regorafenib,8,19.2,Yes,Validation
RO4929097,8,10.8,Yes,Validation
TAK-632,8,32.9,Yes,Validation
Celecoxib,7.73,20.7,Yes,Validation
Dabrafenib,7.72,34.2,Yes,Validation
Valrubicin,7.44,9.3,Yes,Validation
Pluripotin,7.43,22.9,Yes,Validation
Nilotinib,7.43,25.8,Yes,Validation
Vemurafenib,7.43,27.9,Yes,Validation
Everolimus,7.42,35.5,Yes,Validation
Tanespimycin,7.42,5,Yes,Validation
BMS-777607,7.41,11,Yes,Validation
Glimepiride,7.41,14.3,Yes,Validation
Tacrolimus,7.35,21.7,Yes,Validation
ABT737,7,67.2,Yes,Validation
Glybenclamide,7,17.1,Yes,Validation
Silvesterol,4.97,5.7,No,Training
Idelalisib,4.83,11.9,No,Training
Selumetinib,5,10.5,No,Training
Erlotinib,4.67,18.6,No,Training
Camptotecin,4.99,3,No,Training
Sunitinib,4.82,9,No,Training
Taselisib,4.89,6.1,No,Training
Lapatinib,5.12,39.1,No,Training
Forskolin,6.44,0.5,No,Validation
Talazoparib,5.07,6.1,No,Validation
Ipatasertib,4.93,10.3,No,Validation
Luminespib,5.19,16.1,No,Validation
Apitolisib,5.01,1.8,No,Validation
Binimetinib,6.46,7.7,No,Validation
Pazopanib,4.98,14.9,No,Validation
Dactolisib,4.93,28.8,No,Validation
ZSTK474,4.91,11.3,No,Validation
MGCD-265,4.9,31,No,Validation
Valdecoxib,4.83,7.4,No,Validation
Panobinostat,4.76,8,No,Validation
Gefitinib,4.76,17.7,No,Validation
INK128,4.75,3.1,No,Validation
AZD-4547,4.72,17.7,No,Validation
Voxtalisib,4.62,0.7,No,Validation
Verapamil,4.5,30.6,No,Validation
Terbinafine,4.29,28.5,No,Validation
Bithionol,4.938,36.859,No,Validation
Cholesterol,4.248,54.407,No,Validation
Probucol,4.59,94.642,No,Validation
Ospemifene,4.713,31.579,No,Validation
Cholecalciferol,4.288,60.156,No,Validation
Tazarotene,4.475,24.518,No,Validation
Avasimibe,4.786,67.695,Yes,Validation
Mubritinib,5.171,36.696,No,Validation
