NAME,SpMax1_Bh(s),SpMax2_Bh(s),SpMax3_Bh(s),SpMax4_Bh(s),SpMax5_Bh(s),SpMax6_Bh(s),SpMax7_Bh(s),,,,,,
Sitagliptin.mol,8.513,8.242,8.199,8.161,7.999,7.999,7.427,,,,,,
antrafenine.mol,8.517,8.509,7.999,7.999,7.999,7.999,7.433,,,,,,
Aprepitant.mol,8.518,8.509,8.201,7.999,7.999,7.999,7.999,,,,,,
Avagacestat.mol,8.513,8.201,7.999,7.999,7.715,7.436,6.999,,,,,5.17,
Bicalutamide.mol,8.513,8.201,7.999,7.999,7.714,7.43,6.999,,,,,,
Dutasteride.mol,8.517,8.509,7.999,7.999,7.999,7.999,7.431,,,,,,
Emend.mol,8.518,8.509,8.201,7.999,7.999,7.999,7.999,,,,,,
enzalutamide.mol,8.513,8.201,7.999,7.999,7.43,7.426,6.82,,,,,,
Fulvastrune.mol,8.531,8.336,7.999,7.999,7.999,7.396,6.471,,,,,,
GNE-795.mol,8.513,8.201,7.999,7.999,7.427,4.994,4.774,,,,,,
Lomitapide.mol,8.517,8.509,7.999,7.999,7.999,7.999,7.431,,,,,,
Mefloquine.mol,8.517,8.509,7.999,7.999,7.999,7.999,6.449,,,,,,
Odanacatib.mol,8.513,8.189,7.999,7.999,7.716,7.428,6.999,,,,,,
Refametinib.mol,8.513,8.201,7.999,7.999,7.427,4.994,4.774,,,,,,
Regorafenib.mol,8.513,8.201,7.999,7.999,7.432,7.428,4.954,,,,,,
RO4929097.mol,8.531,8.336,7.999,7.999,7.999,7.444,7.427,,,,,,
TAK-632.mol,8.513,8.201,7.999,7.999,7.43,7.426,6.82,,,,,,
Torcetrapib.mol,8.522,8.509,8.509,7.999,7.999,7.999,7.999,,,,,,
Andarine.mol,8.513,7.999,7.999,7.815,7.432,7.428,6.999,,,,,,
Flutamide.mol,8.513,7.999,7.999,7.815,7.428,6.999,4.663,,,,,,
Nilutamide.mol,8.513,7.999,7.999,7.815,7.447,7.409,6.999,,,,,,
Suramin.mol,7.784,7.759,7.758,7.758,7.757,7.757,7.437,,,,,,
celecoxib.mol,8.513,7.999,7.999,7.726,6.999,4.961,4.819,,,,,,
GSK 2033.mol,8.513,7.999,7.999,7.719,7.712,6.999,6.999,,,,,,
Navitoclax.mol,8.518,7.999,7.999,7.719,7.7,7.427,6.999,,,,,,
AGI-6780.mol,8.513,7.999,7.999,7.717,7.431,6.999,4.792,,,,,,
Tipranavir.mol,8.513,7.999,7.999,7.717,7.433,6.999,6.465,,,,,,
Alvelestat.mol,8.513,7.999,7.999,7.716,7.444,7.412,6.999,,,,,,
Dabrafenib.mol,8.212,8.2,8.191,7.716,6.999,5.234,4.845,,,,,,
Defactinib.mol,8.513,7.999,7.999,7.716,7.429,6.999,5.011,,,,,,
PF-431396.mol,8.513,7.999,7.999,7.716,7.429,6.999,4.994,,,,,,
PF-00562271.mol,8.513,7.999,7.999,7.716,7.429,6.999,4.997,,,,,,
PF-573228.mol,8.513,7.999,7.999,7.716,7.429,6.999,4.994,,,,,,
Saprisartan.mol,8.518,7.999,7.999,7.703,7.437,6.999,5.131,,,,,,
Trovafloxacin.mol,8.212,8.201,8.192,7.611,7.425,6.999,6.299,,,,,,
GSK2636771.mol,8.513,7.999,7.999,7.475,6.351,4.991,4.67,,,,,,
celastrol 3f.mol,8.513,7.999,7.999,7.474,7.43,6.459,6.351,,,,,,
MK-0752.mol,8.206,8.196,7.713,7.474,6.999,6.351,4.928,,,,,,
Valrubicin.mol,8.516,7.999,7.999,7.441,7.432,7.424,7.42,,,,,,
PF-04929113.mol,8.513,7.999,7.999,7.439,7.432,7.426,4.994,,,,,,
TAK-441.mol,8.513,7.999,7.999,7.436,7.427,7.427,7.422,,,,,,
Efavirenz.mol,8.513,7.999,7.999,7.435,4.957,4.753,4.418,,,,,,
PF-03814735.mol,8.513,7.999,7.999,7.434,7.423,4.993,4.728,,,,,,
Travoprost.mol,8.513,7.999,7.999,7.434,7.248,7.236,7.223,,,,,,
Telavancin.mol,7.479,7.467,7.444,7.433,7.43,7.427,7.425,,,,,,
Danoprevir.mol,8.201,7.717,7.441,7.432,7.43,7.424,7.421,,,,,,
Sorafenib.mol,8.513,7.999,7.999,7.432,7.428,4.97,4.902,,,,,,
