Drug Name,SpMAX4_Bh(s),ALOGP2,CLogP,Experimental INP Formation,SpMAX4_Bh(s) Analysis Group
ABT737,7,67.2,10.04,Yes,Validation
Apitolisib,5.01,1.8,1.35,No,Validation
Avagacestat,8,16,3.05,Yes,Validation
Avasimibe,4.79,67.695,9.7,Yes,Validation
AZD-4547,4.72,17.7,4.43,No,Validation
Biminetinib,6.46,7.7,3.16,No,Validation
Bithionol,4.94,36.859,6.16,No,Validation
BMS-777607,7.41,11,3.7,Yes,Validation
Camptotecin,4.99,3,0.6,No,Training
Celecoxib,7.73,20.7,4.37,Yes,Validation
Cholecalciferol,4.29,60.156,9.48,No,Validation
Cholesterol,4.25,54.407,9.52,No,Validation
Dabrafenib,7.72,34.2,4.61,Yes,Validation
Dactolisib,4.93,28.8,5.81,No,Validation
Docetaxel,7.43,7.1,4.08,Yes,Training
Dutasteride,8,32.5,4.94,Yes,Validation
Enzalutamide,8,18.8,3.35,Yes,Training
Erlotinib,4.67,18.6,4.19,No,Training
Everolimus,7.42,35.5,7.4,Yes,Validation
Forskolin,6.44,0.5,1.31,No,Validation
Fulvestrant,8,70.8,7.35,Yes,Training
Gefitinib,4.76,17.7,5.45,No,Validation
Glimepiride,7.41,14.3,4.24,Yes,Validation
Glybenclamide,7,17.1,3.96,Yes,Validation
Idelalisib,4.83,11.9,3.54,No,Training
INK128,4.75,3.1,1.41,No,Validation
Ipatasertib,4.93,10.3,2.85,No,Validation
Lapatinib,5.12,39.1,5.82,No,Training
Luminespib,5.19,16.1,2.81,No,Validation
MGCD-265,4.9,31,5.12,No,Validation
Mubritinib,5.17,36.696,5.42,No,Validation
Nilotinib,7.43,25.8,5.69,Yes,Validation
Ospemifene,4.71,31.579,5.56,No,Validation
Paclitaxel,7.43,9.8,4.73,Yes,Training
Panobinostat,4.76,8,2.64,No,Validation
Pazopanib,4.98,14.9,3.5,No,Validation
Pluripotin,7.43,22.9,4.28,Yes,Validation
Probucol,4.59,94.642,10.97,No,Validation
Rapamycin,7.42,37.1,7.04,Yes,Training
Regorafenib,8,19.2,5.19,Yes,Validation
RO4929097,8,10.8,3.58,Yes,Validation
Selumetinib,5,10.5,3.73,No,Training
Silvesterol,4.97,5.7,3.4,No,Training
Sorafenib,7.43,17.4,5.46,Yes,Training
Sunitinib,4.82,9,3,No,Training
Tacrolimus,7.35,21.7,5.78,Yes,Validation
TAK-632,8,32.9,5.47,Yes,Validation
Talazoparib,5.07,6.1,0.35,No,Validation
Tanespimycin,7.42,5,3.02,Yes,Validation
Taselisib,4.89,6.1,2.05,No,Training
Tazarotene,4.48,24.518,6.07,No,Validation
Terbinafine,4.29,28.5,5.96,No,Validation
Trametinib,7.43,10.1,4.84,Yes,Training
Valdecoxib,4.83,7.4,1.83,No,Validation
Valrubicin,7.44,9.3,3.44,Yes,Validation
Vemurafenib,7.43,27.9,4.17,Yes,Validation
Venetoclax,7,60.9,10.31,Yes,Training
Verapamil,4.5,30.6,4.47,No,Validation
Voxtalisib,4.62,0.7,0.74,No,Validation
ZSTK474,4.91,11.3,1.05,No,Validation
