,FILENAME,Drug Name,smiles,XlogP,SpMAX4_Bh(s),ALOGP2,CLogP,Experimental INP Formation,SpMAX4_Bh(s) Analysis Group
0,ABT737.mol,ABT737,CN(C)CC[C@@H](CSc1ccccc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)NC(=O)c3ccc(cc3)N4CCN(CC4)Cc5ccccc5c6ccc(cc6)Cl,6.948001384735107,7.0,67.2,10.04,Yes,Validation
1,AZD-4547.mol,AZD-4547,C[C@@H]1CN(C[C@@H](N1)C)c2ccc(cc2)C(=O)Nc3cc([nH]n3)CCc4cc(cc(c4)OC)OC,3.369999885559082,4.72,17.7,4.43,No,Validation
2,Apitolisib.mol,Apitolisib,Cc1c(sc2c1nc(nc2N3CCOCC3)c4cnc(nc4)N)CN5CCN(CC5)C(=O)[C@H](C)O,-0.9180001020431519,5.01,1.8,1.35,No,Validation
3,Avagacestat.mol,Avagacestat,c1cc(ccc1S(=O)(=O)[N@@](Cc2ccc(cc2F)c3ncon3)[C@H](CCC(F)(F)F)C(=O)N)Cl,4.077000617980957,8.0,16.0,3.05,Yes,Validation
4,Avasimibe.mol,Avasimibe,CC(C)c1cccc(c1OS(=O)(=O)NC(=O)Cc2c(cc(cc2C(C)C)C(C)C)C(C)C)C(C)C,7.3600006103515625,4.79,67.695,9.7,Yes,Validation
5,BMS-777607.mol,BMS-777607,CCO[C@H]1C=CN(C(=O)[C@@H]1C(=O)Nc2ccc(c(c2)F)Oc3ccnc(c3Cl)N)c4ccc(cc4)F,3.434999704360962,7.41,11.0,3.7,Yes,Validation
6,Bithionol.mol,Bithionol,c1c(cc(c(c1Sc2cc(cc(c2O)Cl)Cl)O)Cl)Cl,4.873000144958496,4.94,36.859,6.16,No,Validation
7,Camptotecin.mol,Camptotecin,CC[C@@]1(c2cc-3n(c(=O)c2COC1=O)Cc4c3nc5ccccc5c4)O,1.66100013256073,4.99,3.0,0.6,No,Training
8,Celecoxib.mol,Celecoxib,Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F,3.4699997901916504,7.73,20.7,4.37,Yes,Validation
9,Cholecalciferol.mol,Cholecalciferol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C\3/C[C@H](CCC3=C)O)C,7.3460001945495605,4.29,60.156,9.48,No,Validation
10,Cholesterol.mol,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,7.404999732971191,4.25,54.407,9.52,No,Validation
11,Dabrafenib.mol,Dabrafenib,CC(C)(C)c1nc(c(s1)c2ccnc(n2)N)c3cccc(c3F)NS(=O)(=O)c4c(cccc4F)F,4.977000713348389,7.72,34.2,4.61,Yes,Validation
12,Dactolisib.mol,Dactolisib,CC(C)(C#N)c1ccc(cc1)n2c3c4cc(ccc4ncc3n(c2=O)C)c5cc6ccccc6nc5,5.845999717712402,4.93,28.8,5.81,No,Validation
13,Docetaxel.mol,Docetaxel,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](c5ccccc5)NC(=O)OC(C)(C)C)O)O)OC(=O)c6ccccc6)(CO4)OC(=O)C)O)C)O,2.919999361038208,7.43,7.1,4.08,Yes,Training
14,Dutasteride.mol,Dutasteride,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)Nc4cc(ccc4C(F)(F)F)C(F)(F)F)CC[C@@H]5[C@@]3(C=CC(=O)N5)C,6.706001281738281,8.0,32.5,4.94,Yes,Validation
15,Enzalutamide.mol,Enzalutamide,CC1(C(=O)N(C(=S)N1c2ccc(c(c2)F)C(=O)NC)c3ccc(c(c3)C(F)(F)F)C#N)C,4.516000270843506,8.0,18.8,3.35,Yes,Training
16,Erlotinib.mol,Erlotinib,COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C,2.805999994277954,4.67,18.6,4.19,No,Training
17,Everolimus.mol,Everolimus,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,6.5619988441467285,7.42,35.5,7.4,Yes,Validation
18,Forskolin.mol,Forskolin,CC(=O)O[C@H]1[C@H]([C@@H]2[C@]([C@H](CCC2(C)C)O)([C@@]3([C@@]1(O[C@@](CC3=O)(C)C=C)C)O)C)O,1.7120001316070557,6.44,0.5,1.31,No,Validation
19,Fulvestrant.mol,Fulvestrant,C[C@]12CC[C@@H]3c4ccc(cc4C[C@H]([C@H]3[C@@H]1CC[C@@H]2O)CCCCCCCCC[S@](=O)CCCC(C(F)(F)F)(F)F)O,7.819000244140625,8.0,70.8,7.35,Yes,Training
20,Gefitinib.mol,Gefitinib,COc1cc2c(cc1OCCCN3CCOCC3)c(ncn2)Nc4ccc(c(c4)Cl)F,2.7179996967315674,4.76,17.7,5.45,No,Validation
21,Glimepiride.mol,Glimepiride,CCC1=C(CN(C1=O)C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,3.1989998817443848,7.41,14.3,4.24,Yes,Validation
22,Glybenclamide.mol,Glybenclamide,COc1ccc(cc1C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3)Cl,4.220000267028809,7.0,17.1,3.96,Yes,Validation
23,INK128.mol,INK128,CC(C)n1c2c(c(n1)c3ccc4c(c3)nc(o4)N)c(ncn2)N,1.8009998798370361,4.75,3.1,1.41,No,Validation
24,Idelalisib.mol,Idelalisib,CC[C@@H](c1nc2cccc(c2c(=O)n1c3ccccc3)F)Nc4c-5ncnc5nc[nH]4,3.375999689102173,4.83,11.9,3.54,No,Training
25,Ipatasertib.mol,Ipatasertib,C[C@@H]1C[C@H](c2c1c(ncn2)N3CCN(CC3)C(=O)[C@H](CNC(C)C)c4ccc(cc4)Cl)O,2.24399995803833,4.93,10.3,2.85,No,Validation
26,Lapatinib.mol,Lapatinib,CS(=O)(=O)CCNCc1ccc(o1)c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F,4.4770002365112305,5.12,39.1,5.82,No,Training
27,Luminespib.mol,Luminespib,CCNC(=O)c1c(c(on1)c2cc(c(cc2O)O)C(C)C)c3ccc(cc3)CN4CCOCC4,2.6069998741149902,5.19,16.1,2.81,No,Validation
28,MGCD-265.mol,MGCD-265,Cn1cc(nc1)c2cc3c(s2)c(ccn3)Oc4ccc(cc4F)NC(=S)NC(=O)Cc5ccccc5,4.881999969482422,4.9,31.0,5.12,No,Validation
29,Mubritinib.mol,Mubritinib,c1cc(ccc1CCCCn2ccnn2)OCc3coc(n3)/C=C/c4ccc(cc4)C(F)(F)F,5.769001007080078,5.17,36.696,5.42,No,Validation
30,Nilotinib.mol,Nilotinib,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)C(=O)Nc4cc(cc(c4)n5cc(nc5)C)C(F)(F)F,3.7709996700286865,7.43,25.8,5.69,Yes,Validation
31,Ospemifene.mol,Ospemifene,c1ccc(cc1)C(=C(c2ccccc2)c3ccc(cc3)OCCO)CCCl,5.784000396728516,4.71,31.579,5.56,No,Validation
32,Paclitaxel.mol,Paclitaxel,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](c5ccccc5)NC(=O)c6ccccc6)O)O)OC(=O)c7ccccc7)(CO4)OC(=O)C)O)C)OC(=O)C,3.67699933052063,7.43,9.8,4.73,Yes,Training
33,Panobinostat.mol,Panobinostat,Cc1c(c2ccccc2[nH]1)CCNCc3ccc(cc3)/C=C/C(=O)NO,3.49399995803833,4.76,8.0,2.64,No,Validation
34,Pazopanib.mol,Pazopanib,Cc1ccc(cc1S(=O)(=O)N)Nc2nccc(n2)N(C)c3ccc4c(n(nc4c3)C)C,1.6569998264312744,4.98,14.9,3.5,No,Validation
35,Pluripotin.mol,Pluripotin,Cc1ccc(cc1N2Cc3cnc(nc3N(C2=O)C)Nc4cc(nn4C)C)NC(=O)c5cccc(c5)C(F)(F)F,3.37399959564209,7.43,22.9,4.28,Yes,Validation
36,Probucol.mol,Probucol,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)SC(C)(C)Sc2cc(c(c(c2)C(C)(C)C)O)C(C)(C)C,10.607002258300781,4.59,94.642,10.97,No,Validation
37,RO4929097.mol,RO4929097,CC(C)(C(=O)NCC(C(F)(F)F)(F)F)C(=O)N[C@H]1c2ccccc2-c3ccccc3NC1=O,4.118000507354736,8.0,10.8,3.58,Yes,Validation
38,Rapamycin.mol,Rapamycin,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,6.594999313354492,7.42,37.1,7.04,Yes,Training
39,Regorafenib.mol,Regorafenib,CNC(=O)c1cc(ccn1)Oc2ccc(c(c2)F)NC(=O)Nc3ccc(c(c3)C(F)(F)F)Cl,3.865999460220337,8.0,19.2,5.19,Yes,Validation
40,Selumetinib.mol,Selumetinib,Cn1cnc2c1cc(c(c2F)Nc3ccc(cc3Cl)Br)C(=O)NOCCO,3.3459994792938232,5.0,10.5,3.73,No,Training
41,Silvesterol.mol,Silvesterol,COc1ccc(cc1)[C@]23[C@@H]([C@H]([C@H]([C@]2(c4c(cc(cc4OC)OC)O3)O)O)C(=O)NOC)c5ccccc5,2.9150004386901855,4.97,5.7,3.4,No,Training
42,Sorafenib.mol,Sorafenib,CNC(=O)c1cc(ccn1)Oc2ccc(cc2)NC(=O)Nc3ccc(c(c3)C(F)(F)F)Cl,3.730999708175659,7.43,17.4,5.46,Yes,Training
43,Sunitinib.mol,Sunitinib,CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)F)C,2.9769999980926514,4.82,9.0,3.0,No,Training
44,TAK-632.mol,TAK-632,c1cc(cc(c1)C(F)(F)F)CC(=O)Nc2cc(ccc2F)Oc3ccc4c(c3C#N)sc(n4)NC(=O)C5CC5,5.742001056671143,8.0,32.9,5.47,Yes,Validation
45,Tacrolimus.mol,Tacrolimus,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,4.2729997634887695,7.35,21.7,5.78,Yes,Validation
46,Talazoparib.mol,Talazoparib,Cn1c(ncn1)[C@H]2c3c4c(cc(cc4N[C@@H]2c5ccc(cc5)F)F)c(=O)[nH]n3,2.177999973297119,5.07,6.1,0.35,No,Validation
47,Tanespimycin.mol,Tanespimycin,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC,2.1589999198913574,7.42,5.0,3.02,Yes,Validation
48,Taselisib.mol,Taselisib,Cc1nc(n(n1)C(C)C)c2cn3c(n2)-c4ccc(cc4OCC3)c5cnn(c5)C(C)(C)C(=O)N,3.0679996013641357,4.89,6.1,2.05,No,Training
49,Tazarotene.mol,Tazarotene,CCOC(=O)c1ccc(nc1)C#Cc2ccc3c(c2)C(CCS3)(C)C,5.264999866485596,4.48,24.518,6.07,No,Validation
50,Terbinafine.mol,Terbinafine,CC(C)(C)C#C/C=C/C[N@@](C)Cc1cccc2c1cccc2,6.180000305175781,4.29,28.5,5.96,No,Validation
