,Drug Name,SpMAX4_Bh(s),NHISS,Experimental Category,SpMAX4_Bh(s) Analysis Group,NHISS Analysis Group
1,Venetoclax,7,5,1,training,training
2,Docetaxel,7.43,5,1,training,training
3,Paclitaxel,7.43,6,1,training,training
4,Trametinib,7.43,5,1,training,training
5,Enzalutamide,8,6,1,training,training
6,Sorafenib,7.43,5,1,training,training
7,Fulvestrant,8,7,1,training,training
8,Rapamycin,7.42,5,1,training,training
9,Silvesterol,4.97,1,0,training,training
10,Erlotinib,4.67,0,0,training,training
11,Idelalisib,4.83,2,0,training,training
12,Camptotecin,4.99,2,0,training,training
13,Selumetinib,5,2,0,training,training
14,Sunitinib,4.82,3,0,training,training
15,Taselisib,4.89,1,0,training,training
16,Lapatinib,5.12,3,0,training,training
17,Avagacestat,8,7,1,validation,training
18,Dutasteride,8,8,1,validation,training
19,Regorafenib,8,6,1,validation,training
20,RO4929097,8,8,1,validation,training
21,TAK-632,8,6,1,validation,training
22,Celecoxib,7.73,5,1,validation,training
23,Dabrafenib,7.72,5,1,validation,training
24,Valrubicin,7.44,8,1,validation,training
25,Nilotinib,7.43,4,1,validation,training
26,Pluripotin,7.43,5,1,validation,training
27,Vemurafenib,7.43,5,1,validation,training
28,Everolimus,7.42,5,1,validation,training
29,Tanespimycin,7.42,4,1,validation,training
30,BMS-777607,7.41,4,1,validation,training
31,Glimepiride,7.41,5,1,validation,training
32,Tacrolimus,7.35,4,1,validation,training
33,ABT737,7,5,1,validation,training
34,Glibenclamide,7,4,1,validation,training
35,Binimetinib,6.46,3,0,validation,training
36,Forskolin,6.44,2,0,validation,training
37,Luminespib,5.19,1,0,validation,training
38,Talazoparib,5.07,3,0,validation,training
39,Apitolisib,5.01,1,0,validation,training
40,Pazopanib,4.98,2,0,validation,training
41,Ipatasertib,4.93,1,0,validation,training
42,Dactolisib,4.93,1,0,validation,training
43,ZSTK474,4.91,2,0,validation,training
44,MGCD-265,4.9,2,0,validation,training
45,Valdecoxib,4.83,2,0,validation,training
46,Gefitinib,4.76,1,0,validation,training
47,Panobinostat,4.76,1,0,validation,training
48,INK128,4.75,0,0,validation,training
49,AZD-4547,4.72,1,0,validation,training
50,Voxtalisib,4.62,1,0,validation,training
51,Verapamil,4.5,0,0,validation,training
52,Terbinafine,4.29,0,0,validation,training
53,Selumetinib,5,2,,?,?
